Product name,Product Description,Original Price,Discounted Price,Price Change
Balmain,logo-print cropped T-shirt,1830,1830.0,0.0
Frankie Shop,Perla long-sleeve shirt jacket,1470,1146.6000000000001,323.39999999999986
KHAITE,Nuelle leather minidress,29101,22698.780000000002,6402.2199999999975
MOTHER,The Insider Crop Step Fray jeans,1615,1259.7,355.29999999999995
Polo Ralph Lauren,zip roll neck jumper,1090,850.2,239.79999999999995
Canada Goose,zip-fastening padded jacket,7345,7345.0,0.0
GANNI,recycled polyester quilted coat,1825,1423.5,401.5
Frankie Shop,high-waisted track shorts,650,507.0,143.0
Frankie Shop,Astra bomber jacket,2375,1852.5,522.5
Polo Ralph Lauren,Bear in Paris logo-print sweatshirt,1285,1002.3000000000001,282.69999999999993
GANNI,Smiley logo-print organic-cotton T-shirt,540,421.2,118.80000000000001
Frankie Shop,Karina striped cropped top,570,444.6,125.39999999999998
ZIMMERMANN,wrap silk midi dress,4530,3533.4,996.5999999999999
Frankie Shop,Lui long-sleeve shirt,1100,858.0,242.0
AMI Paris,Ami de Coeur track pants,1625,1625.0,0.0
Jacquemus,cut-out blazer dress,3560,3560.0,0.0
Frankie Shop,Lui organic cotton shirt,1259,982.02,276.98
Frankie Shop,Lui pinstripe-print long-sleeve shirt,845,659.1,185.89999999999998
Frankie Shop,Gelso single-breasted waistcoat,1888,1472.64,415.3599999999999
Reformation,Emmy halter cowl-neck top,1259,982.02,276.98
HommeGirls,vertical-stripe cotton shirt,1680,1310.4,369.5999999999999
Frankie Shop,Suzanne long trench coat,3420,2667.6,752.4000000000001
Pleats Please Issey Miyake,plissé slim leg trousers,2373,1850.94,522.06
Moschino,Double Question Mark cotton T-shirt,670,670.0,0.0
Frankie Shop,Georgia striped cotton shirt,1356,1057.68,298.31999999999994
Reformation,floral-print sweetheart neck dress,1835,1431.3,403.70000000000005
Frankie Shop,Gelso tailored waistcoat,1750,1365.0,385.0
Marine Serre,Moon Diamond long-sleeve top,1680,1680.0,0.0
AMI Paris,embroidered-logo organic cotton T-shirt,695,695.0,0.0
Mugler,seam-detail skinny jeans,2560,1996.8000000000002,563.1999999999998
GANNI,button-down cardigan,1480,1154.4,325.5999999999999
ZIMMERMANN,short-sleeve crochet top,2590,2020.2,569.8
Frankie Shop,logo-embroidered organic cotton shorts,675,526.5,148.5
Frankie Shop,Astra bomber jacket,1785,1392.3,392.70000000000005
Frankie Shop,Uma cropped shirt,1315,1025.7,289.29999999999995
Frankie Shop,Lui buttoned shirt,1115,869.7,245.29999999999995
Versace,Greca Key swimsuit,1540,1540.0,0.0
Reformation,Penny asymmetric mini skirt,1259,982.02,276.98
Marine Serre,moon-print turtleneck top,1990,1552.2,437.79999999999995
AMI Paris,logo-print organic cotton hoodie,2380,2380.0,0.0
Marine Serre,crescent moon-print T-shirt,1465,1465.0,0.0
Jacquemus,Sierra ribbed-knit dress,3955,3955.0,0.0
Balmain,logo-print organic-cotton T_Shirt,1480,1480.0,0.0
Pleats Please Issey Miyake,plissé-effect sleeveless minidress,1925,1501.5,423.5
HommeGirls,long-sleeve cotton shirt,1690,1318.2,371.79999999999995
Frankie Shop,Bea single-breasted blazer,2034,1586.52,447.48
Pleats Please Issey Miyake,pleated long-sleeved cardigan,2365,1844.7,520.3
AMIRI,double-breasted wool coat,14045,14045.0,0.0
HommeGirls,logo-trim cotton tank top,435,339.3,95.69999999999999
Moncler,Glyco padded sleeveless gilet,10400,10400.0,0.0
Reformation,Villa sleeveless midi dress,2227,1737.0600000000002,489.9399999999998
Pleats Please Issey Miyake,high neck tank top,1695,1322.1000000000001,372.89999999999986
Kenzo,Boke floral-print cardigan,2940,2940.0,0.0
Frankie Shop,Gelso oversized blazer,2400,1872.0,528.0
Frankie Shop,Bea wide-leg trousers,1840,1435.2,404.79999999999995
Frankie Shop,stripe-pattern long-sleeve shirt,845,659.1,185.89999999999998
Frankie Shop,cropped short-sleeve T-shirt,580,452.40000000000003,127.59999999999997
Frankie Shop,Bea single-breasted blazer,2663,2077.14,585.8600000000001
Reformation,Sybil crossover jersey top,605,471.90000000000003,133.09999999999997
HommeGirls,long-sleeve cropped shirt,1230,959.4,270.6
GANNI,wide-leg jeans,1830,1427.4,402.5999999999999
Frankie Shop,pleat-detail wide leg trousers,1646,1283.88,362.1199999999999
Frankie Shop,high-waisted denim shorts,880,686.4,193.60000000000002
HommeGirls,cropped cotton shirt,1075,838.5,236.5
Canada Goose,logo patch padded jacket,3365,3365.0,0.0
AMI Paris,logo-print organic cotton sweatshirt,2170,2170.0,0.0
Frankie Shop,Kai wide leg cargo jeans,1270,990.6,279.4
Frankie Shop,Gelso oversized blazer,3196,2492.88,703.1199999999999
Frankie Shop,Astra bomber jacket,2135,1665.3,469.70000000000005
Frankie Shop,pinstripe straight-leg trousers,1330,1037.4,292.5999999999999
Marine Serre,crescent moon diamond-jacquard leggings,2430,2430.0,0.0
HommeGirls,cotton button-up shirt,1690,1318.2,371.79999999999995
Isabel Marant Étoile,two-tone crew neck sweatshirt,1540,1540.0,0.0
Reformation,Raydon twisted mini dress,910,709.8000000000001,200.19999999999993
Frankie Shop,Bea single-breasted oversize blazer,2085,1626.3,458.70000000000005
Polo Ralph Lauren,Beret Polo Bear print cotton T-shirt,870,678.6,191.39999999999998
FRAME,low-waist flared jeans,1580,1232.4,347.5999999999999
AGOLDE,Criss Cross straight-leg jeans,1500,1170.0,330.0
Polo Ralph Lauren,Good Vibes long-sleeved jumper,1235,963.3000000000001,271.69999999999993
Reformation,Carolena floral-print midi dress,2005,2005.0,0.0
Jacquemus,wool-blend flared trousers,3843,2997.54,845.46
Marine Serre,intarsia-knit logo knitted vest,3010,2347.8,662.1999999999998
Frankie Shop,Gelso tailored waistcoat,1937,1510.8600000000001,426.1399999999999
Reformation,Shia pleated square-neck tank top,1100,858.0,242.0
Frankie Shop,Arlet high-rise denim shorts,925,721.5,203.5
Frankie Shop,Bea pinstripe straight-leg trousers,1350,1053.0,297.0
Marine Serre,panelled wrap miniskirt,4600,4600.0,0.0
Isabel Marant Étoile,logo-print two-tone sweatshirt,1925,1925.0,0.0
Reformation,Kirah halterneck off-shoulder midi dress,1453,1133.3400000000001,319.65999999999985
GANNI,spread-collar quilted jacket,2170,1692.6000000000001,477.39999999999986
ZIMMERMANN,palm tree print belted midi shirt dress,6695,5222.1,1472.8999999999996
FRAME,Le Color skinny jeans,930,930.0,0.0
Marine Serre,Crescent Moon print turtleneck top,2820,2199.6,620.4000000000001
Frankie Shop,Eugene trench coat,3235,2523.3,711.6999999999998
HommeGirls,striped cropped shirt,1259,982.02,276.98
Canada Goose,Hybridge Lite puffer jacket,4400,4400.0,0.0
HommeGirls,logo-waistband striped boxers,387,301.86,85.13999999999999
GANNI,logo-jacquard crew-neck jumper,2220,1731.6000000000001,488.39999999999986
Kenzo,Boke Flower-print oversized cardigan,2685,2094.3,590.6999999999998
AMI Paris,Ami de Coeur sweatshirt,2200,2200.0,0.0
AMI Paris,Ami de Coeur organic-cotton hoodie,1885,1885.0,0.0
AMI Paris,intarsia-knit logo cardigan,4700,4700.0,0.0
Pleats Please Issey Miyake,pleated sleeveless midi dress,2954,2304.12,649.8800000000001
AMI Paris,high-waisted satin shorts,1150,1150.0,0.0
ZIMMERMANN,wrap silk midi dress,4504,3513.1200000000003,990.8799999999997
GANNI,cut-out denim shirt,1345,1049.1000000000001,295.89999999999986
GANNI,floral-print peplum blouse,1090,850.2,239.79999999999995
