,Date,UKPOUND_BID_SPOT,UKPOUND_ASK_SPOT
1123,29/01/1988,0.564971751,0.565291125
1144,29/02/1988,0.563602547,0.563920374
1167,31/03/1988,0.529801325,0.530222694
1188,29/04/1988,0.531914894,0.532197978
1210,31/05/1988,0.54377379,0.544069641
1232,30/06/1988,0.586166471,0.586510264
1253,29/07/1988,0.585137507,0.585651537
1276,31/08/1988,0.594177065,0.594530321
1298,30/09/1988,0.591366056,0.591715976
1319,31/10/1988,0.5648122,0.565131393
1341,30/11/1988,0.541418517,0.541711809
1363,30/12/1988,0.553097345,0.553709856
1385,31/01/1989,0.570613409,0.570939195
1405,28/02/1989,0.573065903,0.573394495
1428,31/03/1989,0.591891092,0.592241635
1448,28/04/1989,0.591891092,0.592241635
1471,31/05/1989,0.634920635,0.635727908
1493,30/06/1989,0.645577792,0.645994832
1514,31/07/1989,0.59962823,0.599988
1537,31/08/1989,0.635324015,0.635727908
1558,29/09/1989,0.61842919,0.618811881
1580,31/10/1989,0.632711167,0.633111744
1602,30/11/1989,0.636456212,0.636861546
1623,29/12/1989,0.619578686,0.620347395
1646,31/01/1990,0.594883998,0.595238095
1666,28/02/1990,0.591366056,0.591715976
1688,30/03/1990,0.607348922,0.607718019
1709,30/04/1990,0.610687023,0.611060189
1732,31/05/1990,0.596480763,0.596836765
1753,29/06/1990,0.572573719,0.572901747
1775,31/07/1990,0.537345513,0.537634409
1798,31/08/1990,0.52882073,0.529100529
1818,28/09/1990,0.533049041,0.533333333
1841,31/10/1990,0.513795407,0.514059528
1863,30/11/1990,0.514588586,0.514853524
1884,31/12/1990,0.518000518,0.518806744
1907,31/01/1991,0.508517671,0.508776393
1927,28/02/1991,0.522739153,0.523012552
1948,29/03/1991,0.575705239,0.576701269
1970,30/04/1991,0.579038796,0.579374276
1993,31/05/1991,0.588235294,0.588581519
2013,28/06/1991,0.61709349,0.617474529
2036,31/07/1991,0.59311981,0.59347181
2058,30/08/1991,0.595592615,0.595947557
2079,30/09/1991,0.570776256,0.571102227
2102,31/10/1991,0.573230152,0.573558933
2123,29/11/1991,0.565195275,0.565514901
2145,31/12/1991,0.535331906,0.535905681
2168,31/01/1992,0.558659218,0.558971492
2188,28/02/1992,0.568828214,0.569151964
2210,31/03/1992,0.575705239,0.576036866
2232,30/04/1992,0.563539025,0.56385678
2253,29/05/1992,0.546597431,0.546896363
2275,30/06/1992,0.525072197,0.525348043
2298,31/07/1992,0.51975052,0.520020801
2319,31/08/1992,0.504413619,0.504668181
2341,30/09/1992,0.560852496,0.561167228
2363,30/10/1992,0.639795266,0.640204866
2384,30/11/1992,0.660720185,0.661157025
2407,31/12/1992,0.660501982,0.661813369
2428,29/01/1993,0.672494956,0.67294751
2448,26/02/1993,0.703482237,0.703977473
2471,31/03/1993,0.663570007,0.664010624
2493,30/04/1993,0.637145588,0.637551801
2514,31/05/1993,0.640409862,0.64082025
2536,30/06/1993,0.669120107,0.669568129
2558,30/07/1993,0.674081564,0.674536256
2580,31/08/1993,0.672268908,0.672721157
2602,30/09/1993,0.667556742,0.668002672
2623,29/10/1993,0.672359309,0.67281168
2645,30/11/1993,0.673219335,0.673672864
2668,31/12/1993,0.676132522,0.677506775
2689,31/01/1994,0.666222518,0.666666667
2709,28/02/1994,0.671591672,0.672043011
2732,31/03/1994,0.671411307,0.671862403
2753,29/04/1994,0.660153156,0.660589246
2775,31/05/1994,0.661200741,0.661638216
2797,30/06/1994,0.645786245,0.646203554
2818,29/07/1994,0.648929267,0.64977258
2841,31/08/1994,0.650872169,0.651296079
2863,30/09/1994,0.634678853,0.635081926
2884,31/10/1994,0.611246944,0.611620795
2906,30/11/1994,0.637673766,0.638080653
2928,30/12/1994,0.638162093,0.638569604
2950,31/01/1995,0.633071664,0.633472697
2970,28/02/1995,0.631074088,0.631472594
2993,31/03/1995,0.615233173,0.61599113
3013,28/04/1995,0.62150404,0.621890547
3036,31/05/1995,0.630119723,0.630517024
3058,30/06/1995,0.628693575,0.629089079
3079,31/07/1995,0.625625626,0.626017278
3102,31/08/1995,0.644080897,0.644496004
3123,29/09/1995,0.632111252,0.632511069
3145,31/10/1995,0.632111252,0.632511069
3167,30/11/1995,0.653167864,0.653594771
3188,29/12/1995,0.643500644,0.643915003
3211,31/01/1996,0.660763843,0.661200741
3232,29/02/1996,0.65257113,0.652997257
3253,29/03/1996,0.654964632,0.655393892
3275,30/04/1996,0.664628473,0.665070497
3298,31/05/1996,0.644246875,0.644662197
3318,28/06/1996,0.643583473,0.643997939
3341,31/07/1996,0.642467074,0.642880103
3363,30/08/1996,0.639959043,0.640368852
3384,30/09/1996,0.638977636,0.639386189
3407,31/10/1996,0.614175163,0.614552606
3428,29/11/1996,0.594530321,0.594883998
3450,31/12/1996,0.58356676,0.583907509
3473,31/01/1997,0.624219725,0.624609619
3493,28/02/1997,0.613647521,0.614024315
3514,31/03/1997,0.612745098,0.613120785
3536,30/04/1997,0.616903146,0.617283951
3558,30/05/1997,0.610873549,0.611246944
3579,30/06/1997,0.600384246,0.600744924
3602,31/07/1997,0.609236018,0.609607413
3623,29/08/1997,0.616674889,0.617055412
3645,30/09/1997,0.619885941,0.620270438
3668,31/10/1997,0.596125186,0.596480763
3688,28/11/1997,0.592276712,0.592627711
3711,31/12/1997,0.604521823,0.604887491
3733,30/01/1998,0.612820199,0.613195977
3753,27/02/1998,0.607533414,0.607902736
3775,31/03/1998,0.596089652,0.596445187
3797,30/04/1998,0.597657184,0.598014592
3818,29/05/1998,0.612369871,0.612745098
3840,30/06/1998,0.598515681,0.598874117
3863,31/07/1998,0.611620795,0.611995104
3884,31/08/1998,0.597728631,0.598086124
3906,30/09/1998,0.588512241,0.588858792
3928,30/10/1998,0.59751434,0.597871577
3949,30/11/1998,0.605913718,0.606281072
3972,31/12/1998,0.600889316,0.601250601
3993,29/01/1999,0.607681089,0.60805059
4013,26/02/1999,0.622665006,0.62305296
4036,31/03/1999,0.61896509,0.619348445
4058,30/04/1999,0.621426796,0.621813207
4079,31/05/1999,0.624375624,0.624765713
4101,30/06/1999,0.634356762,0.634759426
4123,30/07/1999,0.616598841,0.616979269
4145,31/08/1999,0.622045285,0.622432466
4167,30/09/1999,0.607164542,0.607533414
4188,29/10/1999,0.607902736,0.608272506
4210,30/11/1999,0.62751004,0.627904056
4233,31/12/1999,0.619655472,0.620039683
4254,31/01/2000,0.617894217,0.618276246
4275,29/02/2000,0.632431065,0.632831287
4298,31/03/2000,0.62672349,0.627116518
4318,28/04/2000,0.643500644,0.643915003
4341,31/05/2000,0.667645881,0.668091929
4363,30/06/2000,0.659630607,0.660066007
4384,31/07/2000,0.666755567,0.667200427
4407,31/08/2000,0.690131125,0.690607735
4428,29/09/2000,0.676041103,0.676498444
4450,31/10/2000,0.689464975,0.689940665
4472,30/11/2000,0.701557458,0.702049986
