,acquirers,0,1,2,3,4
35,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.",ARMSTRONG FINANCIAL CO.,STANDARD FINANCIAL CORP,"CEDARSTONE FINANCIAL, INC."
36,Southwest Bancorp,"SOUTHWEST BANCORP, INC.",NORTHEAST BANCORP,FIRST NORTHWEST BANCORP,"SOUTHWESTERN BANCORP, INC.",PACWEST BANCORP
37,Green Bancorp,"GREEN BANCORP, INC.",RSNB BANCORP,RESURGENS BANCORP,SEBREE BANKCORP,FREEDOM BANCORP
38,FNB,"FNB, INC.",FNB BANCORP,FNB COMPANY,UNB CORP,CNB CORP
39,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.",ARMSTRONG FINANCIAL CO.,STANDARD FINANCIAL CORP,"CEDARSTONE FINANCIAL, INC."
40,BNC Bancorp,BNC BANCORP,NCAL BANCORP,CU BANCORP,FNB BANCORP,MNB BANCORP
41,Home BancShares,"HOME BANCSHARES, INC.","HOPE BANCSHARES, INC.",TRICO BANCSHARES,"SHORE BANCSHARES, INC.","HODGE BANCSHARES, INC."
42,PBB Bancorp,PBB BANCORP,TPB BANCORP,CBB BANCORP,RBB BANCORP,FNB BANCORP
43,Northwest Bancorp,NORTHEAST BANCORP,FIRST NORTHWEST BANCORP,NORTH STATE BANCORP,NORTHWEST INDIANA BANCORP,"NORTHEAST BANCORP, INC."
44,Juniata Valley Financial,JUNIATA VALLEY FINANCIAL CORP.,"RAE VALLEY FINANCIALS, INC.",ALLY FINANCIAL INC.,CRYSTAL VALLEY FINANCIAL CORPORATION,VALLEY FINANCIAL CORPORATION
45,First Merchants,FIRST MERCHANTS CORPORATION,FIRST AMERICAN BANCORP,FIRST METRO BANCORP,FARMERS & MERCHANTS BANCORP,FIRST BEEMER CORPORATION
46,Citizens Finl Svcs,CITIZENS FINANCIAL CORP.,"CITIZENS FINANCIAL SERVICES, INC.",CITIZENS BANCORP,"CITIZENS INVESTORS, LLC",FIRST CITIZENS FINANCIAL CORP.
47,Premier Finl Bancorp,PREMIER FINANCIAL CORP.,"PREMIER FINANCIAL BANCORP, INC.",PREMIER COMMERCIAL BANCORP,AMERIANA BANCORP,AMERIS BANCORP
48,Nationalmmerce,NATIONAL COMMERCE CORPORATION,AMG NATIONAL CORP.,NATIONAL CONSUMER COOPERATIVE BANK,OLD NATIONAL BANCORP,"NATIONAL BANKSHARES, INC."
49,Amer Riviera Bank,AMERICAN RIVER BANKSHARES,PINE RIVER BANK CORP.,AMERIANA BANCORP,SUGAR RIVER BANCORP MHC,TWO RIVER BANCORP
50,Preferred Bank,"PREFERRED BANCORP, INC.",SEBREE BANKCORP,FREEDOM BANCORP,RESURGENS BANCORP,PINE RIVER BANK CORP.
